ht_bib_key,oclc_num
000000008,241
000000056,3581
000000098,6761
000000112,8961
000000137,12051
000000170,15361
000000196,18561
000000207,19341
000000214,20091
000000267,24331
000000284,27221
000000313,30291
000000319,30551
000000336,32411
000000345,33121
000000348,33541
000000375,36251
000000386,37761
000000412,43771
000000420,45011
000000431,45961
000000446,47421
000000461,48431
000000474,49451
000000495,50851
000000500,51101
000000575,55891
000000621,57481
000000644,58591
000000656,59031
000000661,59231
000000682,60851
000000711,62611
000000721,63181
000000774,66291
000000810,68471
000000831,69981
000000864,72461
000000867,72611
000000880,74251
000000884,74631
000000933,78061
000000935,78211
000001068,83841
000001076,83981
000001104,85421
000001132,86101
000001162,87741
000001183,88861
000001213,90721
000001227,91461
000001280,94411
000001345,98641
000001360,99421
000001379,99931
000001380,100111
000001382,100171
000001402,101381
000001485,106701
000001490,106971
000001501,107531
000001507,107751
000001533,109671
000001543,110211
000001559,111191
000001562,111311
000001570,111821
000001580,113131
000001602,114371
000001680,119241
000001692,119851
000001699,120281
000001701,120401
000001710,120651
000001713,120741
000001733,122131
000001746,123191
000001763,123901
000001819,126701
000001822,127041
000001834,127721
000001846,128471
000001862,129561
000001900,131451
000001991,137381
000002001,137571
000002080,141021
000002121,143071
000002132,143681
000002180,146791
000002187,147341
000002218,148781
000002232,149831
000002237,150091
000002281,152261
000002283,152471
000002367,157171
000002407,159421
000002408,159471
000002427,160711
000002430,161011
000002457,162581
000002458,162601
000002472,163481
000002509,165711
000002512,165721
000002516,165951
000002539,167561
000002548,167951
000002572,170251
000002577,170641
000002583,171431
000002584,171461
000002609,173861
000002620,175071
000002649,3793551
000002650,178371
000002655,178781
000002659,179201
000002666,179851
000002669,180061
000002671,180141
000002688,181761
000002707,183691
000002735,185931
000002747,187051
000002786,22165571
000002793,191951
000002802,192871
000002804,193061
000002874,198031
000002878,198281
000002913,200171
000002921,200531
000002952,203131
000002966,204411
000002970,204451
000002985,205251
000002988,205401
000002990,205441
000003007,206701
000003101,212231
000003110,212581
000003122,213541
000003145,215331
000003186,217061
000003195,217541
000003220,219231
000003238,220761
000003261,222141
000003270,222671
000003273,223641
000003281,4346701
000003325,227601
000003345,228901
000003364,230501
000003375,231641
000003404,235181
000003428,236031
000003493,240561
000003506,241181
000003511,241421
000003526,242951
000003567,246801
000003600,247941
000003620,250571
000003746,184461
000003759,259771
000003762,259921
000003848,265861
000003863,266921
000003891,268571
000003945,273801
000003964,276311
000003983,277561
000004091,285761
000004115,286971
000004134,288181
000004161,289601
000004195,292511
000004270,298351
000004308,300991
000004384,306691
000004455,312871
000004473,313991
000004477,314101
000004479,314121
000004481,314161
000004527,316771
000004555,319131
000004565,319891
000004594,320661
000004649,324261
000004665,324441
000004786,331261
000004817,333631
000004822,333771
000004835,334291
000004840,334301
000004874,336891
000004921,341071
000004936,341771
000004971,345831
000005030,350361
000005074,354171
000005087,355051
000005114,357361
000005165,6582031
000005174,363561
000005193,365671
000005250,371581
000005252,371851
000005279,375671
000005287,376461
000005356,380601
000005377,381451
000005419,385761
000005434,386831
000005442,387221
000005493,390221
000005537,393611
000005572,396611
000005635,402371
000005640,402451
000005661,403141
000005663,403171
000005691,406501
000005698,408051
000005784,413541
000005791,414791
000005795,415261
000005823,416461
000005849,417911
000005868,419611
000005900,422451
000005939,424951
000005948,425601
000005966,427411
000005976,427951
000006057,437941
000006062,438491
000006086,441201
000006180,448741
000006185,448991
000006214,452431
000006219,453001
000006220,453211
000006277,463531
000006326,475401
000006355,478541
000006359,478971
000006362,479181
000006366,479751
000006378,480891
000006449,483201
000006512,488471
000006531,489481
000006581,493891
000006610,495311
000006615,495391
000006628,496421
000006663,499161
000006676,500481
000006679,500721
000006710,503181
000006741,506691
000006751,228561
000006809,509381
000006811,509411
000006862,223021
000006926,515881
000006948,516271
000006951,516301
000006953,516391
000006976,517571
000006985,518491
000006987,518891
000006989,518931
000006995,6990011
000007000,274791
000007040,523091
000007057,524071
000007065,524081
000007146,10473671
000007160,530211
000007165,531341
000007174,532171
000007184,532181
000007194,532191
000007201,532231
000007220,533371
000007239,533691
000007296,538711
000007305,538941
000007316,539351
000007383,541861
000007402,543861
000007412,545171
000007424,546481
000007453,548371
000007476,549381
000007495,551661
000007515,553541
000007555,557251
000007602,562171
000007605,536631
000007639,568441
000007659,570571
000007692,571941
000007761,576771
000007775,577901
000007897,584001
000007970,589031
000007972,589061
000007997,589861
000008003,590041
000008011,590191
000008064,592371
000008090,594661
000008158,445541
000008172,600251
000008205,601291
000008211,601541
000008214,5991161
000008225,602801
000008257,604901
000008298,607211
000008301,607411
000008396,612791
000008417,613721
000008431,614161
000008487,617611
000008597,623151
000008755,631711
000008758,631841
000008789,632541
000008791,632721
000008793,632831
000008806,633511
000008843,636481
000008850,636721
000008858,636951
000008954,642941
000008969,644471
000009028,649971
000009030,650021
000009121,654461
000009162,657521
000009180,658081
000009183,658171
000009231,387201
000009256,661641
000009260,661721
000009347,666721
000009355,666901
000009397,668111
000009452,671861
000009454,671881
000009463,672221
000009473,672591
000009483,672961
000009506,673571
000009526,674091
000009558,677101
000009668,25440371
000009679,2655831
000009702,689051
000009757,693521
000009786,694381
000009851,696661
000009864,484351
000009874,604231
000010022,703041
000010026,703201
000010031,703321
000010188,711651
000010307,717091
000010321,35772711
000010390,722991
000010412,723861
000010434,724371
000010445,724521
000010473,726011
000010507,727541
000010527,729681
000010553,730711
000010616,733371
000010659,736491
000010786,741541
000010798,741871
000010827,743551
000010857,745311
000010939,749271
000010981,750001
000011091,755431
000011094,755831
000011106,756711
000011176,762151
000011209,762581
000011221,762731
000011227,762801
000011246,763371
000011327,766801
000011330,767121
000011352,769721
000011399,772841
000011447,777511
000011498,766951
000011540,784811
000011589,788661
000011590,788941
000011625,790351
000011711,793521
000011712,793541
000011715,793551
000011770,795711
000011795,796921
000011829,797901
000011853,799201
000011866,799531
000011875,799611
000011881,799671
000011891,799791
000011904,800161
000011907,800211
000012003,802881
000012032,803721
000012070,805001
000012079,805091
000012107,805821
000012155,14893031
000012230,810461
000012234,810551
000012264,811071
000012267,811091
000012369,815101
000012411,816551
000012430,8111831
000012476,821011
000012485,821131
000012507,821491
000012597,826861
000012632,827911
000012633,827931
000012670,828421
000012684,829011
000012765,834901
000012767,834931
000012843,837661
000012944,841651
000013021,846241
000013038,3893021
000013057,848291
000013059,848381
000013085,850241
000013155,855581
000013172,567971
000013233,858881
000013269,860501
000013297,862491
000013333,21786591
000013335,865341
000013359,866061
000013364,866151
000013432,867551
000013434,867591
000013438,867641
000013459,867951
000013498,753771
000013579,873821
000013584,873871
000013630,874351
000013649,875121
000013690,756181
000013691,876891
000013707,877671
000013813,855231
000013847,886351
000013853,886441
000013971,862031
000014137,898181
000014234,901071
000014376,904441
000014401,782451
000014465,910161
000014474,910721
000014484,895431
000014566,914891
000014608,915811
000014698,919501
000014848,926031
000014866,3872571
000014959,934591
000014989,934791
000015017,936271
000015025,793211
000015101,940491
000015243,947581
000015249,947621
000015270,947881
000015340,949441
000015376,952231
000015423,959821
000015453,960141
000015467,960221
000015518,847761
000015541,250771
000015577,965481
000015580,965751
000015601,967651
000015609,968211
000015633,969591
000015636,969611
000015637,969641
000015644,969731
000015650,3242561
000015662,970751
000015684,972321
000015800,979161
000015805,979191
000015839,979531
000015859,980041
000015868,980091
000015870,980101
000015875,980181
000015881,980231
000015921,980651
000015971,982931
000015976,983551
000015991,983761
000016054,984311
000016083,986171
000016089,2681641
000016090,986501
000016120,988641
000016138,990321
000016144,990801
000016195,994551
000016202,994741
000016249,995191
000016264,995481
000016296,997561
000016445,1007731
000016448,1007781
000016459,1007881
000016509,1008241
000016517,1008321
000016547,1009121
000016574,1009351
000016588,1009461
000016653,1011061
000016667,1011971
000016684,1013391
000016687,1013441
000017037,1529391
000017100,4515541
000017170,1364721
000017201,1609051
000017218,1031651
000017223,1529491
000017302,1529541
000017308,1364821
000017395,1364881
000017480,1529771
000017487,1032151
000017515,1529811
000017525,1032191
000017538,1032201
000017562,1365111
000017571,1202651
000017603,1365171
000017630,1677041
000017693,5935581
000017694,1530011
000017699,6003571
000017752,1365251
000017809,4952981
